Benchmark                                         (kind)  (offset)  (size)  Mode  Cnt        Score        Error  Units
c.m.a.b.set.SetSetBench.diff                     hashset       0.0       1  avgt    6       35.785 ±      0.398  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.0      10  avgt    6      179.971 ±      7.061  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.0     100  avgt    6     1721.913 ±     51.305  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.0    1000  avgt    6    18389.724 ±    245.471  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.0   10000  avgt    6   201792.789 ±   4042.902  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.0  100000  avgt    6  2526393.751 ± 113255.224  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.5       1  avgt    6       36.635 ±      2.219  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.5      10  avgt    6      155.736 ±      3.917  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.5     100  avgt    6     1458.787 ±      8.224  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.5    1000  avgt    6    17196.513 ±    125.258  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.5   10000  avgt    6   198133.787 ±   2360.535  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       0.5  100000  avgt    6  2606343.221 ±  85368.093  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       1.0       1  avgt    6       31.229 ±      0.350  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       1.0      10  avgt    6      129.554 ±      1.854  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       1.0     100  avgt    6     1155.648 ±     12.465  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       1.0    1000  avgt    6    13720.935 ±   1062.234  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       1.0   10000  avgt    6   157801.989 ±   3787.337  ns/op
c.m.a.b.set.SetSetBench.diff                     hashset       1.0  100000  avgt    6  1947190.834 ±  24759.571  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.0       1  avgt    6       32.067 ±      0.243  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.0      10  avgt    6      161.709 ±      3.047  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.0     100  avgt    6     1726.148 ±     35.735  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.0    1000  avgt    6    28380.150 ±   2010.284  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.0   10000  avgt    6   326289.745 ±   1850.814  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.0  100000  avgt    6  4852711.751 ± 175708.672  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.5       1  avgt    6       32.272 ±      0.267  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.5      10  avgt    6      153.288 ±      2.069  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.5     100  avgt    6     1534.228 ±    186.007  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.5    1000  avgt    6    27374.116 ±   1134.706  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.5   10000  avgt    6   313607.183 ±   7695.644  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       0.5  100000  avgt    6  4633309.648 ± 113198.242  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       1.0       1  avgt    6       28.512 ±      0.422  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       1.0      10  avgt    6      133.879 ±      1.098  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       1.0     100  avgt    6     1414.922 ±     37.688  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       1.0    1000  avgt    6    25032.924 ±    319.643  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       1.0   10000  avgt    6   287292.169 ±   1162.950  ns/op
c.m.a.b.set.SetSetBench.diff                   sortedset       1.0  100000  avgt    6  3624444.602 ±  81903.932  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.0       1  avgt    6        2.814 ±      0.206  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.0      10  avgt    6       20.319 ±      0.294  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.0     100  avgt    6      172.550 ±      3.105  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.0    1000  avgt    6     1353.470 ±     65.605  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.0   10000  avgt    6    14172.072 ±    175.320  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.0  100000  avgt    6   144560.907 ±   6279.754  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.5       1  avgt    6        2.829 ±      0.038  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.5      10  avgt    6       20.340 ±      0.233  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.5     100  avgt    6      172.543 ±      4.834  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.5    1000  avgt    6     1375.736 ±      7.370  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.5   10000  avgt    6    13975.643 ±    575.282  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       0.5  100000  avgt    6   145829.288 ±   1419.507  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       1.0       1  avgt    6        2.925 ±      0.025  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       1.0      10  avgt    6       20.387 ±      0.400  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       1.0     100  avgt    6      171.488 ±      1.991  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       1.0    1000  avgt    6     1421.782 ±    131.256  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       1.0   10000  avgt    6    14182.910 ±    129.424  ns/op
c.m.a.b.set.SetSetBench.filter                  arrayset       1.0  100000  avgt    6   148161.502 ±   5677.086  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.0       1  avgt    6        5.154 ±      0.609  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.0      10  avgt    6       29.987 ±      1.615  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.0     100  avgt    6      334.185 ±      8.446  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.0    1000  avgt    6     3076.477 ±    284.645  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.0   10000  avgt    6    63909.275 ±  10739.949  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.0  100000  avgt    6  1308728.451 ± 704964.764  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.5       1  avgt    6        5.137 ±      0.425  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.5      10  avgt    6       33.044 ±      5.753  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.5     100  avgt    6      346.228 ±     42.190  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.5    1000  avgt    6     3042.295 ±     46.894  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.5   10000  avgt    6    61913.250 ±   2647.283  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       0.5  100000  avgt    6   841251.081 ±  36522.624  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       1.0       1  avgt    6        5.341 ±      0.800  ns/op
